Product name, Product description, Product link, Product unit cost inc. tax (€), Product amount, Product total cost (€), Running total (€ with tax)
YD-RP2040, RPI pico-like microcontroller board, https://www.aliexpress.com/item/1005006152339711.html, 2.99€, 1, 2.99€, 2.99€
74AHCT125DR, Logic level shifter IO, https://www.aliexpress.com/item/1005010022053816.html, 3.01€, 1, 3.01€, 6.00€
100nF 0805 Ceramic Capacitor (>= 6.3V), Decoupling capacitor, https://www.aliexpress.com/item/1005007470747384.html, 0.0173€, 105, 1.79€, 7.79€
10kΩ 0805 Resistor, Pull-up resistor, https://www.aliexpress.com/item/1005009805187579.html, 0.019€, 2, 0.038€, 7.83€
1N4148W Diode, Keyboard matrix diode, https://www.aliexpress.com/item/4000685043735.html, 0.0172€, 103, 1.77€, 9.60€
Kailh Hot-Swap Sockets for Gateron, PCB sockets for switches, https://www.aliexpress.com/item/1005009594313632.html, 8.24€/150, 103, 8.24€, 17.84€
Gateron Switch G Pro 3.0, Mechanical keyboard switches, https://kurokeeb.com/products/gateron-switch-g-pro-3-0, 0.25€, 103, 25.75€, 43.59€
1.5 Inch OLED Display 128x128 I2C, OLED Screen, https://www.aliexpress.com/item/1005008534123571.html, 6.79€, 1, 6.79€, 50.38€
SK6812 Mini RGB LED, Backlight LEDs, https://www.fruugo.cz/200-ks-sk6812-mini-e-rgb-podobne-ws2812b-sk6812-3228-smd-pixelu-led/p-96905983-203991007, 11.06€/200, 103, 11.06€, 61.44€
Keycap set, set of keycaps for keyboard, https://www.aliexpress.com/item/1005007996240625.html, 16.93€, 1, 16.93€, 78.37€
M3x8 screws, screws for PCB and case assembly, https://www.aliexpress.com/item/1005008585550992.html, 0.05€, 8, 0.40€, 78.77€
Hot melt inserts MxL4xOD4.2, inserts for case assembly, https://www.aliexpress.com/item/1005006071488810.html, 0.11€, 8, 0.88€, 79.65€
Silicone feet 12x3mm, anti-slip feet for case, https://www.aliexpress.com/item/1005006954839245.html, 0.72€/4, 4, 0.72€, 80.37€
PETG Filament, 3D printing filament for case, https://www.aurapol.com/cz/p/aurapol-pet-g-filament-army-panzer-grau-1-kg-1-75-mm, 17.7€/kg, 1, 17.7€, 98.07€
PCB, w/o assembly (estimate), https://www.jlcpcb.com/, 15.00€, 1, 15.00€, 113.07€
